origin_hdong_cd,dest_hdong_cd,date,start_time,end_time,gender,age,modal,origin_purpose,dest_purpose,od_dist_avg,od_duration_avg,od_cnts,행정동코드,시도명,시군구명,읍면동명,주소,위도,경도
1114055000,1111061500,20231014,12:00,13:00,1,0,0.0,4.0,4,9500,29,44,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1111053000,1111061500,20231014,10:00,10:00,1,1,4.0,3.0,3,232,1,7,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.5754222287938,126.96631967084
1123073000,1111061500,20231014,12:00,12:00,1,1,2.0,0.0,3,30687,26,7,1123073000,서울특별시,동대문구,휘경제2동,서울특별시 동대문구 휘경제2동,37.5901076994928,127.068614843098
1144066000,1111061500,20231014,12:00,12:00,1,1,2.0,5.0,5,12441,30,7,1144066000,서울특별시,마포구,서교동,서울특별시 마포구 서교동,37.5550949138085,126.914613374473
1168051000,1111061500,20231014,17:00,17:00,1,1,0.0,4.0,4,9073,18,7,1168051000,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.5239850298543,127.02277448907
1114055000,1111061500,20231014,11:00,11:00,1,1,0.0,5.0,5,5412,12,13,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1114060500,1111061500,20231014,18:00,18:00,1,1,0.0,3.0,3,13060,19,20,1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.5669897855446,126.991193754251
1111065000,1111061500,20231014,15:00,15:00,1,1,0.0,0.0,0,8560,13,7,1111065000,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,37.5868624440018,127.00060686405
1114060500,1111061500,20231014,17:00,18:00,1,3,0.0,3.0,3,21195,40,7,1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.5669897855446,126.991193754251
1123053600,1111061500,20231014,10:00,10:00,1,1,0.0,0.0,4,8105,21,7,1123053600,서울특별시,동대문구,용신동,서울특별시 동대문구 용신동,37.5758031741813,127.03726228013
4145063000,1111061500,20231014,08:00,10:00,0,0,0.0,0.0,3,58216,111,39,4145063000,경기도,하남시,미사3동,경기도 하남시 미사3동,37.549023322979,127.185090374889
1162073500,1111061500,20231014,12:00,14:00,1,1,0.0,5.0,3,128345,111,27,1162073500,서울특별시,관악구,대학동,서울특별시 관악구 대학동,37.4706092043945,126.936970450155
4136025600,1111061500,20231014,08:00,10:00,1,1,5.0,0.0,3,76867,122,7,4136025600,경기도,남양주시,화도읍,경기도 남양주시 화도읍,37.6579103478731,127.300352454876
3020060000,1111061500,20231014,08:00,13:00,0,0,0.0,0.0,3,180751,280,39,3020060000,대전광역시,유성구,관평동,대전광역시 유성구 관평동,36.4231207490064,127.388769859047
4159058500,1111061500,20231014,13:00,14:00,1,1,0.0,0.0,3,54153,60,7,4159058500,경기도,화성시,동탄1동,경기도 화성시 동탄1동,37.20652287427,127.071915895498
4145063000,1111061500,20231014,09:00,10:00,1,0,0.0,0.0,3,58501,64,44,4145063000,경기도,하남시,미사3동,경기도 하남시 미사3동,37.549023322979,127.185090374889
1111054000,1111061500,20231014,18:00,18:00,1,2,1.0,3.0,3,21148,26,7,1111054000,서울특별시,종로구,삼청동,서울특별시 종로구 삼청동,37.584997782564,126.981758302922
4182032500,1111061500,20231014,09:00,11:00,1,1,2.0,0.0,3,121421,134,13,4182032500,경기도,가평군,청평면,경기도 가평군 청평면,37.7404626327354,127.424141651948
4136025300,1111061500,20231014,11:00,13:00,0,0,0.0,0.0,3,112258,110,39,4136025300,경기도,남양주시,진접읍,경기도 남양주시 진접읍,37.7263004861766,127.189886481276
1111064000,1111061500,20231014,08:00,08:00,1,1,0.0,2.0,2,2277,5,13,1111064000,서울특별시,종로구,이화동,서울특별시 종로구 이화동,37.5769946840179,127.004338052474
1129066000,1111061500,20231014,08:00,09:00,1,1,1.0,0.0,4,21155,34,7,1129066000,서울특별시,성북구,길음제1동,서울특별시 성북구 길음제1동,37.6103983239179,127.019502782008
1150059300,1111061500,20231014,09:00,10:00,1,1,2.0,0.0,3,33940,52,7,1150059300,서울특별시,강서구,화곡제8동,서울특별시 강서구 화곡제8동,37.5326259869176,126.848362286981
1111053000,1111061500,20231014,21:00,22:00,0,0,2.0,5.0,5,25632,49,39,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.5754222287938,126.96631967084
4145061000,1111061500,20231014,15:00,17:00,0,0,0.0,0.0,3,30504,90,39,4145061000,경기도,하남시,미사1동,경기도 하남시 미사1동,37.5603159330876,127.188807992731
1138060000,1111061500,20231014,09:00,10:00,1,1,1.0,0.0,3,11365,50,7,1138060000,서울특별시,은평구,응암제3동,서울특별시 은평구 응암제3동,37.592241925144,126.915734945869
4163052000,1111061500,20231014,15:00,16:00,1,1,2.0,0.0,3,72068,88,7,4163052000,경기도,양주시,양주2동,경기도 양주시 양주2동,37.7968923459749,127.080386802168
1114055000,1111061500,20231014,16:00,16:00,0,6,0.0,3.0,3,20388,8,8,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1114055000,1111061500,20231014,17:00,17:00,1,0,0.0,3.0,3,19910,30,44,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
4163052000,1111061500,20231014,08:00,10:00,0,0,0.0,0.0,3,59392,100,39,4163052000,경기도,양주시,양주2동,경기도 양주시 양주2동,37.7968923459749,127.080386802168
1111065000,1111061500,20231014,13:00,14:00,1,1,1.0,2.0,0,42321,18,7,1111065000,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,37.5868624440018,127.00060686405
1114055000,1111061500,20231014,11:00,11:00,0,3,0.0,3.0,3,12131,15,7,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1129055500,1111061500,20231014,14:00,15:00,1,1,0.0,0.0,4,28800,96,7,1129055500,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동,37.5908295073389,127.014651562653
1174070000,1111061500,20231014,12:00,12:00,1,1,2.0,0.0,3,15775,52,7,1174070000,서울특별시,강동구,둔촌제2동,서울특별시 강동구 둔촌제2동,37.5333480007967,127.141963454031
1111051500,1111061500,20231014,15:00,15:00,1,6,0.0,3.0,3,19967,22,9,1111051500,서울특별시,종로구,청운효자동,서울특별시 종로구 청운효자동,37.5841161738354,126.97064969123
1114059000,1111061500,20231014,17:00,17:00,1,4,0.0,3.0,3,8600,19,7,1114059000,서울특별시,중구,광희동,서울특별시 중구 광희동,37.5644311770078,127.005052665365
2820069000,1111061500,20231014,12:00,14:00,1,1,2.0,0.0,3,81942,123,7,2820069000,인천광역시,남동구,논현1동,인천광역시 남동구 논현1동,37.4056917351436,126.729318789009
1159053000,1111061500,20231014,19:00,20:00,1,1,2.0,0.0,3,30306,22,7,1159053000,서울특별시,동작구,상도제1동,서울특별시 동작구 상도제1동,37.50324263284,126.94974984805
1121573000,1111061500,20231014,08:00,09:00,1,1,2.0,5.0,5,24911,55,7,1121573000,서울특별시,광진구,군자동,서울특별시 광진구 군자동,37.5554765598174,127.075350846159
1111053000,1111061500,20231014,17:00,17:00,1,1,3.0,3.0,0,121,2,7,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.5754222287938,126.96631967084
1114055000,1111061500,20231014,11:00,11:00,1,2,0.0,3.0,3,3675,5,7,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1114055000,1111061500,20231014,21:00,21:00,0,0,1.0,5.0,5,13041,19,39,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1111053000,1111061500,20231014,16:00,17:00,1,3,0.0,3.0,3,25408,40,7,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.5754222287938,126.96631967084
1141052000,1111061500,20231014,19:00,20:00,1,1,0.0,4.0,0,6982,39,7,1141052000,서울특별시,서대문구,천연동,서울특별시 서대문구 천연동,37.5675017663096,126.958422464555
1141068500,1111061500,20231014,17:00,17:00,1,1,0.0,0.0,4,16239,49,7,1141068500,서울특별시,서대문구,홍은제2동,서울특별시 서대문구 홍은제2동,37.5801515443519,126.934229091144
2826053700,1111061500,20231014,12:00,13:00,1,1,2.0,0.0,3,68815,85,7,2826053700,인천광역시,서구,청라2동,인천광역시 서구 청라2동,37.5326557640968,126.644160618855
1114060500,1111061500,20231014,18:00,19:00,1,0,0.0,3.0,3,10577,31,44,1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.5669897855446,126.991193754251
1114060500,1111061500,20231014,15:00,15:00,0,6,0.0,3.0,3,4182,15,10,1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.5669897855446,126.991193754251
1114055000,1111061500,20231014,20:00,20:00,0,3,0.0,3.0,3,7311,15,10,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1129055500,1111061500,20231014,16:00,16:00,1,1,2.0,4.0,3,18037,26,7,1129055500,서울특별시,성북구,삼선동,서울특별시 성북구 삼선동,37.5908295073389,127.014651562653
1111053000,1111061500,20231014,16:00,17:00,1,1,0.0,3.0,3,40521,29,7,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.5754222287938,126.96631967084
1111051500,1111061500,20231014,15:00,15:00,1,4,0.0,3.0,3,12134,20,6,1111051500,서울특별시,종로구,청운효자동,서울특별시 종로구 청운효자동,37.5841161738354,126.97064969123
1126065500,1111061500,20231014,09:00,10:00,1,1,0.0,0.0,3,54247,76,7,1126065500,서울특별시,중랑구,망우본동,서울특별시 중랑구 망우본동,37.6005319691716,127.101414648372
1159066000,1111061500,20231014,19:00,20:00,1,1,2.0,4.0,4,61514,28,7,1159066000,서울특별시,동작구,대방동,서울특별시 동작구 대방동,37.508164261,126.926343500008
4122025000,1111061500,20231014,09:00,12:00,1,1,5.0,5.0,5,185282,131,7,4122025000,경기도,평택시,팽성읍,경기도 평택시 팽성읍,36.9651318147252,127.062439708927
2623051000,1111061500,20231014,11:00,19:00,1,1,0.0,4.0,5,543314,471,7,2623051000,부산광역시,부산진구,부전제1동,부산광역시 부산진구 부전제1동,35.1635064656059,129.063005554801
1114055000,1111061500,20231014,13:00,13:00,0,2,0.0,3.0,3,9730,14,6,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1111064000,1111061500,20231014,19:00,19:00,1,0,4.0,3.0,3,2864,7,44,1111064000,서울특별시,종로구,이화동,서울특별시 종로구 이화동,37.5769946840179,127.004338052474
4113165000,1111061500,20231014,08:00,08:00,1,1,1.0,5.0,5,19923,26,7,4113165000,경기도,성남시 수정구,시흥동,경기도 성남시 수정구 시흥동,37.4220156950271,127.107911064005
1138064000,1111061500,20231014,16:00,18:00,1,1,2.0,5.0,5,263034,135,7,1138064000,서울특별시,은평구,증산동,서울특별시 은평구 증산동,37.5843030609175,126.907039772766
1144066000,1111061500,20231014,12:00,13:00,1,0,0.0,4.0,4,64217,104,44,1144066000,서울특별시,마포구,서교동,서울특별시 마포구 서교동,37.5550949138085,126.914613374473
1135056000,1111061500,20231014,12:00,12:00,0,0,2.0,4.0,3,22595,41,39,1135056000,서울특별시,노원구,월계1동,서울특별시 노원구 월계1동,37.6198903481107,127.063001311172
1156062000,1111061500,20231014,11:00,12:00,1,1,0.0,0.0,3,17702,67,7,1156062000,서울특별시,영등포구,양평제2동,서울특별시 영등포구 양평제2동,37.5377447245088,126.89594587648
